result_number,avg_spent_credits,avg_score_value,avg_deaths_value,avg_kills_value,avg_assists_value,avg_damage_value,avg_grenade_casts_value,avg_ability1_casts_value,avg_ability2_casts_value,avg_ultimate_casts_value,avg_plants_value,avg_defuses_value,avg_first_kills_value,avg_first_deaths_value,avg_esr_value,avg_econ_rating_value,avg_kast_value,avg_clutches_value,avg_trn_performance_score_value,avg_team_score_value,avg_team_kills_value,avg_team_deaths_value,avg_team_assists_value,avg_team_damage_value,mode_name_number,mode_key_number,map_name_number,is_available_number,weapon_name_number,ultimate_casts_per_round_value,plants_value,hour_match,minutes_match,playtime_minutes_value,playtime_hours_value,total_players_match,total_players_team,week_day_number,agent_name_number,rank_number_value,current_rank_number_value,team_number_id,defuses_value,first_kills_value,first_deaths_value,esr_value,first_kills_per_round_value,first_deaths_per_round_value,econ_rating_value,hs_accuracy_value,kast_value,clutches_value,rounds_win_pct_value,trn_performance_score_value,rounds_won_value,rounds_lost_value,team_score_value,team_kills_value,team_deaths_value,team_assists_value,team_damage_value,max_total_kills_weapon_name,total_spent_credits,total_rounds,score_value,score_per_round_value,kills_per_round_value,kills_per_round_value,deaths_value,assists_value,kd_ratio_value,damage_value,damage_per_round_value,damage_delta_per_round_value,single_kills_value,double_kills_value,triple_kills_value,quadra_kills_value,penta_kills_value,multi_kills_value,grenade_casts_value,ability1_casts_value,ability2_casts_value,ultimate_casts_value,grenade_casts_per_round_value,ability1_casts_per_round_value,ability2_casts_per_round_value
2,1914,251.8823529411765,0.5882352941176471,0.9411764705882352,0.1176470588235294,168.11764705882354,0.9411764705882352,0.2941176470588235,0.5294117647058824,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.1764705882352941,0.0,5.882352941176471,5.235294117647059,4.176470588235294,0.0588235294117647,49.05882352941177,1234.6470588235295,4.411764705882353,2.8823529411764706,1.588235294117647,788.5882352941177,1,1,1,1,2,0.1176470588235294,1,20,9,27.25,0.45,10,5,6,17,7,10,2,1,3,0,100.0,0.1764705882352941,0.0,89,27.27272727272727,71.0,1,76.47058823529412,834,13,4,20989,75,49,27,13406,8,32550.0,17,4282,251.8823529411765,0.9411764705882352,0.9411764705882352,10,2,1.6,2858,168.11764705882354,59.0,5,4,1,0,0,1,16.0,5.0,9.0,2.0,0.9411764705882352,0.2941176470588235,0.5294117647058824
2,2308,134.35294117647058,0.9411764705882352,0.4117647058823529,0.1176470588235294,89.05882352941177,1.2352941176470589,0.4117647058823529,0.2352941176470588,0.0588235294117647,0.1764705882352941,0.0,0.0,0.2352941176470588,0.0,2.235294117647059,3.117647058823529,0.0,0.1764705882352941,928.4117647058824,2.8823529411764706,4.411764705882353,0.9411764705882352,614.9411764705883,1,1,1,1,2,0.0588235294117647,3,20,9,27.25,0.45,10,5,6,6,6,8,1,0,0,4,0.0,0.0,0.2352941176470588,38,8.695652173913043,53.0,0,23.52941176470588,3,4,13,15783,49,75,16,10454,2,39250.0,17,2284,134.35294117647058,0.4117647058823529,0.4117647058823529,16,2,0.4375,1514,89.05882352941177,-80.6470588235294,5,1,0,0,0,0,21.0,7.0,4.0,1.0,1.2352941176470589,0.4117647058823529,0.2352941176470588
2,2458,453.2352941176471,0.4705882352941176,1.7058823529411764,0.1176470588235294,282.29411764705884,1.1176470588235294,1.1764705882352942,0.3529411764705882,0.1176470588235294,0.0,0.0588235294117647,0.2941176470588235,0.0588235294117647,4.901960784313726,6.882352941176471,5.176470588235294,0.0,58.8235294117647,1234.6470588235295,4.411764705882353,2.8823529411764706,1.588235294117647,788.5882352941177,1,1,1,1,2,0.1176470588235294,0,20,9,27.25,0.45,10,5,6,6,10,1,2,1,5,1,83.33333333333334,0.2941176470588235,0.0588235294117647,117,29.411764705882355,88.0,0,76.47058823529412,1000,13,4,20989,75,49,27,13406,17,41800.0,17,7705,453.2352941176471,1.7058823529411764,1.7058823529411764,8,2,3.625,4799,282.29411764705884,146.35294117647058,5,2,4,2,0,6,19.0,20.0,6.0,2.0,1.1176470588235294,1.1764705882352942,0.3529411764705882
2,2408,107.3529411764706,0.5294117647058824,0.2941176470588235,0.4117647058823529,72.3529411764706,0.0,0.4705882352941176,1.411764705882353,0.0588235294117647,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.1764705882352941,1.4705882352941178,1.7647058823529411,4.823529411764706,0.0588235294117647,28.352941176470587,1234.6470588235295,4.411764705882353,2.8823529411764706,1.588235294117647,788.5882352941177,1,1,1,1,2,0.0588235294117647,2,20,9,27.25,0.45,10,5,6,9,9,7,2,1,1,3,25.0,0.0588235294117647,0.1764705882352941,30,0.0,82.0,1,76.47058823529412,482,13,4,20989,75,49,27,13406,4,40950.0,17,1825,107.3529411764706,0.2941176470588235,0.2941176470588235,9,7,0.5555555555555556,1230,72.3529411764706,-35.11764705882353,5,0,0,0,0,0,0.0,8.0,24.0,1.0,0.0,0.4705882352941176,1.411764705882353
2,2520,202.94117647058823,0.6470588235294118,0.7058823529411765,0.4117647058823529,131.41176470588235,1.2941176470588236,0.8235294117647058,0.5294117647058824,0.1176470588235294,0.0588235294117647,0.0,0.0588235294117647,0.0588235294117647,2.9411764705882355,3.117647058823529,4.823529411764706,0.0,42.94117647058823,1234.6470588235295,4.411764705882353,2.8823529411764706,1.588235294117647,788.5882352941177,1,1,1,1,2,0.1176470588235294,1,20,9,27.25,0.45,10,5,6,10,9,11,2,0,1,1,50.0,0.0588235294117647,0.0588235294117647,53,1.834862385321101,82.0,0,76.47058823529412,730,13,4,20989,75,49,27,13406,5,42850.0,17,3450,202.94117647058823,0.7058823529411765,0.7058823529411765,11,7,1.0909090909090908,2234,131.41176470588235,7.117647058823529,6,3,0,0,0,0,22.0,14.0,9.0,2.0,1.2941176470588236,0.8235294117647058,0.5294117647058824
2,2579,430.88235294117646,0.8823529411764706,1.3529411764705883,0.1176470588235294,289.1764705882353,0.0588235294117647,0.1176470588235294,1.4705882352941178,0.2352941176470588,0.0,0.0,0.2352941176470588,0.1176470588235294,3.92156862745098,6.705882352941177,4.470588235294118,0.0,45.94117647058823,928.4117647058824,2.8823529411764706,4.411764705882353,0.9411764705882352,614.9411764705883,1,1,1,1,2,0.2352941176470588,0,20,9,27.25,0.45,10,5,6,19,10,15,1,0,4,2,66.66666666666666,0.2352941176470588,0.1176470588235294,114,28.000000000000004,76.0,0,23.52941176470588,781,4,13,15783,49,75,16,10454,16,43850.0,17,7325,430.88235294117646,1.3529411764705883,1.3529411764705883,15,2,1.5333333333333334,4916,289.1764705882353,141.41176470588235,6,3,1,2,0,3,1.0,2.0,25.0,4.0,0.0588235294117647,0.1176470588235294,1.4705882352941178
2,2100,138.23529411764707,0.7647058823529411,0.4117647058823529,0.0588235294117647,92.11764705882354,1.0,0.5882352941176471,0.1176470588235294,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0,5.882352941176471,2.588235294117647,2.411764705882353,0.1176470588235294,0.4705882352941176,928.4117647058824,2.8823529411764706,4.411764705882353,0.9411764705882352,614.9411764705883,1,1,1,1,2,0.0588235294117647,0,20,9,27.25,0.45,10,5,6,10,9,8,1,0,1,0,100.0,0.0588235294117647,0.0,44,13.20754716981132,41.0,2,23.52941176470588,8,4,13,15783,49,75,16,10454,3,35700.0,17,2350,138.23529411764707,0.4117647058823529,0.4117647058823529,13,1,0.5384615384615384,1566,92.11764705882354,-48.294117647058826,5,1,0,0,0,0,17.0,10.0,2.0,1.0,1.0,0.5882352941176471,0.1176470588235294
2,2352,76.05882352941177,1.0,0.2352941176470588,0.2352941176470588,37.52941176470589,0.2352941176470588,0.4117647058823529,0.8823529411764706,0.1176470588235294,0.0588235294117647,0.0,0.0588235294117647,0.0588235294117647,2.9411764705882355,0.8823529411764706,2.764705882352941,0.0,0.0588235294117647,928.4117647058824,2.8823529411764706,4.411764705882353,0.9411764705882352,614.9411764705883,1,1,1,1,2,0.1176470588235294,1,20,9,27.25,0.45,10,5,6,14,9,14,1,0,1,1,50.0,0.0588235294117647,0.0588235294117647,15,5.555555555555555,47.0,0,23.52941176470588,1,4,13,15783,49,75,16,10454,3,40000.0,17,1293,76.05882352941177,0.2352941176470588,0.2352941176470588,17,4,0.2352941176470588,638,37.52941176470589,-137.94117647058823,4,0,0,0,0,0,4.0,7.0,15.0,2.0,0.2352941176470588,0.4117647058823529,0.8823529411764706
2,2526,219.23529411764707,0.6470588235294118,0.7647058823529411,0.5294117647058824,134.41176470588235,0.8823529411764706,0.0588235294117647,1.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.1176470588235294,0.0,3.176470588235294,4.470588235294118,0.0,42.64705882352941,1234.6470588235295,4.411764705882353,2.8823529411764706,1.588235294117647,788.5882352941177,1,1,1,1,2,0.0588235294117647,0,20,9,27.25,0.45,10,5,6,16,10,9,2,0,0,2,0.0,0.0,0.1176470588235294,54,13.333333333333334,76.0,0,76.47058823529412,725,13,4,20989,75,49,27,13406,6,42950.0,17,3727,219.23529411764707,0.7647058823529411,0.7647058823529411,11,9,1.181818181818182,2285,134.41176470588235,-2.176470588235294,6,2,1,0,0,1,15.0,1.0,18.0,1.0,0.8823529411764706,0.0588235294117647,1.0588235294117647
2,2435,148.88235294117646,0.8235294117647058,0.4705882352941176,0.4117647058823529,105.52941176470588,0.5294117647058824,0.0,0.5882352941176471,0.1176470588235294,0.0588235294117647,0.0,0.0588235294117647,0.1764705882352941,1.4705882352941178,2.5294117647058822,3.823529411764706,0.0,1.9411764705882355,928.4117647058824,2.8823529411764706,4.411764705882353,0.9411764705882352,614.9411764705883,1,1,1,1,2,0.1176470588235294,1,20,9,27.25,0.45,10,5,6,11,10,11,1,0,1,3,25.0,0.0588235294117647,0.1764705882352941,43,19.444444444444446,65.0,0,23.52941176470588,33,4,13,15783,49,75,16,10454,6,41400.0,17,2531,148.88235294117646,0.4705882352941176,0.4705882352941176,14,7,0.5714285714285714,1794,105.52941176470588,-49.70588235294117,4,0,0,1,0,1,9.0,0.0,10.0,2.0,0.5294117647058824,0.0,0.5882352941176471
